id,ingredient_name
125,simple_syrup
125,1 twist of  Lemon peel
126,4 cl Gin
126,10 cl soda
126,1 Slice Lemon Peel
126,ice
127,1 oz  Vodka
127,1 oz  Almond Liqueur
127,1 oz  Milk
128,1.5 oz  Whiskey
128,0.75 oz  Almond Liqueur
129,1.5 oz  Vodka
129,0.75 oz  Almond Liqueur
130,2 part Herbal Liqueur
130,2 part Orange Liqueur
130,2 part orange juice
130,1 part milk
133,1 oz  Coffee Liqueur
133,1 oz rum
133,simple_syrup
134,1 part  Almond Liqueur
134,1 part  Herbal Liqueur
134,1 part  Coffee Liqueur
134,2.5 part  Milk
135,1 oz  Vodka
135,0.5 oz  Herbal Liqueur
135,4 oz  Orange juice
136,1 oz  Rum
136,1 oz  Pineapple juice
136,1 tsp  Lemon juice
137,2 oz  Gin
137,0.5 oz  Orange Liqueur
137,1 tblsp  Pineapple juice
138,1.5 oz  Whiskey
138,0.75 oz  Sweet Vermouth
138,2 dashes  Bitters
138,1  olive_garnish
139,6 cl rum
139,simple_syrup
139,2 cl Lemon Juice
140,4 cl  Lime juice
140,2 cl  Gin
140,4 cl  Herbal Liqueur
141,0.5 oz  Rum
141,1.5 oz  Whiskey
141,Juice of 0.5  Lemon
141,simple_syrup
141,Soda
142,8 oz  Whiskey
142,5 oz  milk
142,1 can milk
142,simple_syrup
142,simple_syrup
143,1.5 oz  brandy
143,simple_syrup
143,lime juice
144,1 oz  Whiskey
144,1 oz  Almond Liqueur
145,1 shot  Coffee liqueur
145,1 shot Rum
145,ice
145,Milk
146,1.5 oz  Whiskey
146,Juice of 0.5  Lemon
146,simple_syrup
146,1 tblsp Pot Wine
146,milk
146,Soda
147,1 oz  brandy
147,1 oz  Herbal Liqueur
148,2 jiggers  Gin
148,1 jigger  Vodka
148,simple_syrup
148,1 shot  Lime juice
148,Simple Syrup
148,Fill to top with  soda
149,2 oz  Whiskey
149,1 oz  Lemon juice
149,simple_syrup
149,3 oz  soda
149,1  Maraschino cherry
149,1  Orange
150,16 ozs  Milk
150,Simple Syrup
150,Mint syrup
151,1 oz  Vodka
151,1 oz  Orange Liqueur
151,1 oz  Lime juice
152,2 oz  Whiskey
152,0.5 oz  Herbal Liqueur
153,3 oz  Whiskey
153,0.5 oz  Herbal Liqueur
153,1 twist of  Lemon peel
154,1 shot  Vodka
154,1 shot  Almond Liqueur
154,1 shot  gin
154,1 shot  Orange Liqueur
154,Cranberry juice
155,2 oz  Gin
155,2 tsp  Milk
155,simple_syrup
155,Juice of 0.5 Lemon
155,milk
155,Soda
156,1.5 shot  Vodka
156,1.5 shot  Orange Liqueur
156,35ml wedge  Lemon
157,0.5 oz  Herbal Liqueur
157,0.5 oz  Gin
157,wedge Lemon
157,Simple Syrup
157,rum
158,35ml  Lime
158,simple_syrup
158,soda
158,Lime peel
159,2 oz  Whiskey
159,0.5 oz  Whiskey
159,0.5 oz  Dry Vermouth
159,1 twist of  Lemon peel
160,1.5 oz  Gin
160,0.5 oz  Cherry Liqueur
160,2 dashes  Bitters
161,0.75 oz  Sweet Vermouth
161,1.5 oz  Gin
162,Soda
162,Gin
162,Dry Vermouth
162,Simple Syrup
162,Orange pill
162,Lemon peel
163,0.5 oz  Orange Liqueur
163,1 oz  Lime juice
163,Salt
164,1.5 oz Gin
164,1.5 oz Sweet Vermouth
164,1 tsp Cherry Liqueur
164,2 dashes Bitters
165,1 oz  Gin
165,1 oz  Dry Vermouth
165,0.25 tsp  Orange Liqueur
165,1 dash  Bitters
165,cherry
166,1.5 oz  Gin
166,0.5 oz  Dry Vermouth
166,1  olive_garnish
167,1.5 oz  Rum
167,1 oz  Pineapple juice
167,0.5 tsp  Cherry Liqueur
167,simple_syrup
167,1  Maraschino cherry
168,2 oz  Whiskey
168,1 oz  Rum
168,0.5 oz  Milk
169,4 fresh  Mint
169,2.5 oz  Whiskey
169,simple_syrup
169,2 tsp  Water
170,1 oz  Brandy
170,0.5 oz  Rum
170,0.5 oz  Whiskey
170,Juice of 0.5 Lemon
170,simple_syrup
170,Soda
171,2.5 oz  Rum
171,35ml  Lime
171,simple_syrup
171,Mint
171,soda
172,0.5 handful  Mint
172,3 cl  Lemon juice
172,0.125 L Rum
172,0.125 L  soda
172,8 dash  Bitters
173,2 oz  Gin
173,1 tsp  Herbal Liqueur
173,0.5 oz  Orange juice
173,simple_syrup
174,1 oz  Gin
174,1 oz  Bitters
174,1 oz  Sweet Vermouth
175,2 oz  Gin
175,1 oz  Orange Liqueur
175,2 oz  Lemon juice
175,1 oz  soda
176,2 oz  Whiskey
176,Lemon
176,simple_syrup
176,Pot Wine
176,Lemon
176,Cherry
177,2 oz rum
177,Simple Syrup
177,1 oz Lime Juice
177,2 dashes Bitters
177,2 oz Pot Wine
178,4.5 cL Whiskey
178,2 dashes Bitters
178,simple_syrup
178,dash Water
179,2 oz Whiskey
179,1 oz Bitters
179,1 oz Dry Vermouth
180,1 oz  Vodka
180,1 oz  Orange Liqueur
180,1 oz  Orange juice
181,4 oz  Orange juice
181,1 oz  Rum
181,1 oz  Vodka
181,1 package  milk
181,ice
182,5 cl  Lemon juice
182,15 cl  Orange juice
182,simple_syrup
182,soda
183,3 oz soda
183,1.5 oz Tequila
184,7 part Gin
184,4 part Brandy
184,3 part  Orange Juice
185,1.5 oz Gin
185,0.75 oz Orange Liqueur
185,0.75 oz Lime Juice
185,1 dash Bitters
185,1 dash Bitters
187,3 dashes  Bitters
187,2 oz  Gin
188,1.5 oz  Gin
188,simple_syrup
188,1 tsp  Milk
188,milk
189,1 L  soda
189,16 ozs  Lemon Juice
189,16 ozs  Vodka
190,1 part  Rum
190,simple_syrup
190,2 part  Orange juice
190,1 part  Pineapple juice
191,4.5 cL Rum
191,3 cl Orange Juice
191,3.5 cl Pineapple Juice
191,simple_syrup
191,simple_syrup
191,4 dash Bitters
192,2 oz  Vodka
192,2 oz  Cherry liqueur
192,4 oz  Cranberry juice
192,4 oz  Orange juice
193,2.5 oz  Pot Wine
193,0.5 tsp  Brandy
194,3 part Brandy
194,9 part Pot Wine
194,2 part Milk
195,0.75 oz  Rum
195,0.75 oz  Brandy
195,35ml/4  Lemon
195,simple_syrup
196,1.5  Rum
196,0.5 oz Pot Wine
196,Juice of 0.5  Lime
197,1 oz  brandy
197,1.5 oz  vodka
197,0.5 oz Pot Wine
198,2 oz  Pot Wine
198,simple_syrup
198,soda
199,0.5 oz  Dry Vermouth
199,1.5 oz  Gin
199,1.5 tsp  Herbal Liqueur
200,2 oz  Vodka
200,4 oz  soda
200,Ice
201,2 oz Whiskey
201,0.5 oz simple_syrup
201,8 Mint
202,1 shot  Whiskey
202,1 shot  Almond Liqueur
202,1 shot  Cranberry juice
203,0.5 oz  Dry Vermouth
203,1 oz  Gin
203,0.5 oz  Brandy
203,0.5 tsp  Lemon juice
203,simple_syrup
203,Simple Syrup
204,1 part  Herbal Liqueur
204,1 part  Whiskey
205,2 oz  Gin
205,Juice of 0.5  Lemon
205,simple_syrup
205,1 whole  Milk
205,Soda
206,2 oz  Gin
206,5 oz  Cranberry juice
206,simple_syrup
207,simple_syrup
207,3 oz  soda
207,lemon
207,2 oz  Rum
207,1  Maraschino cherry
207,1  Orange
208,2 oz Rum
208,4 oz  soda
208,lemon
209,1.5 oz  Rum
209,1 tsp  rum
209,simple_syrup
209,1 dash  Bitters
209,1 tsp  Water
209,Twist of  Lime peel
210,1.5 oz  Rum
210,1 oz  brandy
210,3.5 oz  Orange juice
210,3.5 oz  Pineapple juice
210,3.5 oz  Cranberry juice
211,1.5 oz  Rum
211,5 oz  Orange juice
212,2 oz  Rum
212,1 oz  Lemon juice
212,simple_syrup
212,1  Orange
212,1  Maraschino cherry
213,2 oz Rum
213,simple_syrup
213,1 twist of  Lemon peel
213,2 tsp  Water
214,1.5 oz  Whiskey
214,0.5 oz  Whiskey
214,1 twist of  Lemon peel
215,2 cl  Vodka
215,simple_syrup
215,Simple Syrup
215,Orange juice
216,1 oz  Brandy
216,1 oz  Almond Liqueur
216,1 oz  Milk
217,2 oz  Whiskey
217,4 dashes  Brandy
217,4 dashes  Orange Liqueur
217,1 slice  Orange
217,1  Mint
